"K","observed","expected","ratio","null_lo","null_hi","testable","above_envelope","paralog"
146,5,2.05218061037836,2.43643272659035,0,2.43643272659035,FALSE,FALSE,"MYCL1"
169,7,2.74968710888611,2.54574419663177,0,2.1820664542558,FALSE,TRUE,"MYCL1"
194,8,3.62337537306248,2.20788606653204,0.275985758316505,2.20788606653204,FALSE,FALSE,"MYCL1"
224,10,4.83065370174256,2.07011320153061,0.207011320153061,2.07011320153061,FALSE,FALSE,"MYCL1"
258,11,6.4083951092712,1.71649840754762,0.312090619554113,1.87254371732468,TRUE,FALSE,"MYCL1"
298,14,8.54953307018388,1.63751632809333,0.350896356019999,1.7544817801,TRUE,FALSE,"MYCL1"
343,18,11.3265620487147,1.58918477845116,0.441440216236432,1.58918477845116,TRUE,FALSE,"MYCL1"
395,24,15.0211803215558,1.59774395128986,0.532581317096619,1.53117128665278,TRUE,TRUE,"MYCL1"
456,27,20.0188697410224,1.34872749307479,0.599434441366574,1.44863323330255,TRUE,FALSE,"MYCL1"
525,35,26.5355733127948,1.31898412698413,0.640649433106576,1.39435464852608,TRUE,FALSE,"MYCL1"
606,49,35.3553480311928,1.3859289394286,0.706399495147535,1.32936041128865,TRUE,TRUE,"MYCL1"
698,65,46.9051699239434,1.38577474733377,0.724866790913047,1.27917668984655,TRUE,TRUE,"MYCL1"
805,78,62.3880812554154,1.25023880251534,0.753349022028471,1.25023880251534,TRUE,FALSE,"MYCL1"
928,100,82.9097910850101,1.20613016498216,0.80810721053805,1.19406886333234,TRUE,TRUE,"MYCL1"
1069,136,110.018388370078,1.23615699170693,0.827134457686253,1.1634418745477,TRUE,TRUE,"MYCL1"
1232,172,146.127274477713,1.17705610136617,0.862262027744982,1.14968270365998,TRUE,TRUE,"MYCL1"
1421,226,194.400789448349,1.1625467192871,0.879497457212884,1.13168264709364,TRUE,TRUE,"MYCL1"
1638,289,258.30788485607,1.11881989262942,0.898152993391089,1.10730262902882,TRUE,TRUE,"MYCL1"
1888,375,343.173582362569,1.09274145584961,0.909160891266877,1.08399952420282,TRUE,TRUE,"MYCL1"
2176,483,455.855973813421,1.05954518037684,0.927924661075368,1.07051355698529,TRUE,FALSE,"MYCL1"
2508,642,605.570809665929,1.06015678059873,0.937916740592783,1.06180811514795,TRUE,FALSE,"MYCL1"
2891,839,804.648214113796,1.04269168225774,0.946997689964717,1.04769386821851,TRUE,FALSE,"MYCL1"
3332,1096,1068.85761047463,1.02539383100179,0.958967770781782,1.04038647346694,TRUE,FALSE,"MYCL1"
3841,1427,1420.36016174064,1.00467475675411,0.970176464475936,1.03285422917112,TRUE,FALSE,"MYCL1"
4428,1884,1887.66573601617,0.998058058719702,0.975278601965484,1.02560530874806,TRUE,FALSE,"MYCL1"
5104,2519,2508.02118032156,1.00437748283969,0.979258077750808,1.02033627948545,TRUE,FALSE,"MYCL1"
5883,3339,3332.01973620872,1.00209490469562,0.986188636367117,1.01440725673669,TRUE,FALSE,"MYCL1"
6782,4407,4428.18176566862,0.995216599771752,0.990248420694153,1.0103526089843,TRUE,FALSE,"MYCL1"
