dataset_id	file_name	source_url	size_bytes_expected	dest
GSE249362	GSM8209588_20240402_KS239_ChIP_NCIH211_POU2F3_CST_CKX.bed.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8209nnn/GSM8209588/suppl/GSM8209588_20240402_KS239_ChIP_NCIH211_POU2F3_CST_CKX.bed.gz	524914	data/raw/GSE249362/GSM8209588_20240402_KS239_ChIP_NCIH211_POU2F3_CST_CKX.bed.gz
GSE60052	GSE60052_79tumor.7normal.normalized.log2.data.Rda.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60052/suppl/GSE60052_79tumor.7normal.normalized.log2.data.Rda.tsv.gz	9871615	data/raw/GSE60052/GSE60052_79tumor.7normal.normalized.log2.data.Rda.tsv.gz
GSE261348	GSE261348_IMfirst_DSP_rawcounts.xlsx	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261348/suppl/GSE261348_IMfirst_DSP_rawcounts.xlsx	5371667	data/raw/GSE261348/GSE261348_IMfirst_DSP_rawcounts.xlsx
GSE261348	GSE261348_IMfirst_DSP_normalizedcounts.xlsx	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261348/suppl/GSE261348_IMfirst_DSP_normalizedcounts.xlsx	5377687	data/raw/GSE261348/GSE261348_IMfirst_DSP_normalizedcounts.xlsx
GSE261348	GSE261348_GeoMx_Hs_CTA_v1.0.pkc.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261348/suppl/GSE261348_GeoMx_Hs_CTA_v1.0.pkc.gz	571413	data/raw/GSE261348/GSE261348_GeoMx_Hs_CTA_v1.0.pkc.gz
GSE261345	GSE261345_CANTABRICO_DSP_rawcounts.xlsx	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261345/suppl/GSE261345_CANTABRICO_DSP_rawcounts.xlsx	4042148	data/raw/GSE261345/GSE261345_CANTABRICO_DSP_rawcounts.xlsx
GSE261345	GSE261345_CANTABRICO_DSP_normalizedcounts.xlsx	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261345/suppl/GSE261345_CANTABRICO_DSP_normalizedcounts.xlsx	4050424	data/raw/GSE261345/GSE261345_CANTABRICO_DSP_normalizedcounts.xlsx
GSE261345	GSE261345_GeoMx_Hs_CTA_v1.0.pkc.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261345/suppl/GSE261345_GeoMx_Hs_CTA_v1.0.pkc.gz	571413	data/raw/GSE261345/GSE261345_GeoMx_Hs_CTA_v1.0.pkc.gz
ucsc_chain_hg38_to_hg19	hg38ToHg19.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToHg19.over.chain.gz	1246411	data/raw/ucsc_chain_hg38_to_hg19/hg38ToHg19.over.chain.gz
ucsc_hg19_chrom_sizes	hg19.chrom.sizes	https://hgdownload.soe.ucsc.edu/goldenPath/hg19/bigZips/hg19.chrom.sizes	1971	data/raw/ucsc_hg19_chrom_sizes/hg19.chrom.sizes
